滷玉米筍	薑,青蔥,滷汁,玉米筍
茄汁肉醬	洋蔥,蕃茄醬,豬,大蒜,蕃茄醬,橄欖油,水,鹽
奶油野菇焗飯	黃椒,紅椒,起士,青花椰菜,洋蔥,白飯	白醬
黑胡椒牛肉薄片披薩	巴西利,黑胡椒牛肉,洋蔥,起士,鮑魚菇
義大利蔬菜鍋	高麗菜,西芹,洋蔥,紅蘿蔔,黃櫛瓜,白花菜,綠櫛瓜,培根,牛蕃茄,高湯,馬鈴薯	鹽,巴西利
蘆筍培根薄片披薩	起士,培根,蘑菇,黑橄欖,蘆筍
玉米雞茸湯	雞骨高湯,洋蔥,紅蘿蔔,玉米,雞胸,青蔥	月桂葉,鮮奶油,麵粉,奶油,鹽,黑胡椒
抹茶牛軋糖	蛋白,細砂糖,花生,海藻糖,水,奶油,水麥芽,抹茶粉,鹽,奶粉
蜜桃紅茶	果糖,冰塊,水蜜桃,基底紅茶,水蜜桃
醋漬鯖魚沙拉	白酒醋,檸檬,白酒醋,洋蔥,橄欖油,月桂葉,粗黑胡椒粒,海鹽,鯖魚
味噌蜂蜜醬	蜂蜜,牛,高湯,味噌
海鮮巧達湯	蛤蠣,洋蔥,西芹,紅蘿蔔,鯛魚,清高湯,大蒜,馬鈴薯	月桂葉,麵粉,鮮奶油,百里香,奶油,鹽,黑胡椒
焗烤牛蕃茄	九層塔,起士,牛蕃茄	蛋黃,美乃滋
起司臘腸鹹蛋糕	細砂糖,德式香腸,低筋麵粉,起士,麵糊,沙拉油
焦糖土司邊	砂糖,芝麻,沙拉油,水,土司
費南雪	杏仁,蔓越莓,低筋麵粉,蜂蜜,砂糖,奶油,櫻桃,香草,泡打粉,蛋白
脆餅土司	雞蛋,脆餅,土司	煉乳
卡布奇諾蘑菇湯	大骨高湯,土司,馬鈴薯,培根,蘑菇,大蒜,洋蔥,巴西利	奶油,月桂葉,鹽,黑胡椒
檸香烤鮭魚	薑,鮭魚,檸檬,青蔥	奶油,黑胡椒,鹽,米酒
絲襪奶茶	果糖,水,基底紅茶
法式黃金清湯	洋蔥,西芹,紅蘿蔔,牛,蛋白
法式洋蔥湯	清高湯,大蒜,洋蔥	百里香,奶油,砂糖,月桂葉,威士忌
奶油雞肉焗飯	小紅蘿蔔,起士,洋蔥,生香菇,甜豆,白飯,雞肉	白醬
蒜香胡椒焗烤豬肋排	豬肋排,麵包粉,起士	黑胡椒
蛤蜊墨魚焗飯	蛤蠣,起士,洋蔥,西芹,白飯,小章魚	海鮮高湯,墨魚,鹽
洋蔥拌雞絲	洋蔥,雞胸,香菜,蕃茄,蝦子,辣椒,蒜	檸檬,細砂糖,魚露,辣椒,白醋
雪霜奶茶	錫蘭紅茶,水,鮮奶油
燒烤豬肋排	巴西利,豬肋排,蕃茄醬,蕃茄,橄欖油,牛排醬,辣椒,豬肋排,蒜
蕈菇沙拉	美白菇,秀珍菇,黑胡椒,珊瑚菇,小蕃茄,金針,杏鮑菇,糯米醋,鴻禧菇,橄欖油,味霖,醬油,青蘆筍
蘋果餡	糖,檸檬,砂糖,蘋果,萊姆酒,奶油
橙汁炒鴨胸	柳丁,蘑菇,白酒,鴨胸,紅蘿蔔,橄欖油,小黃瓜,玉米筍,鴨胸,蒜
法式炸土司捲	砂糖,雞蛋,鮮奶,土司
奶油烤鮭魚	巴西利,鴻喜菇,蒜,奶油,洋蔥,鮭魚	米酒,黑胡椒,鹽
檸檬雞柳盒	美生菜,起士,雞胸,原味蛋餅皮	沙拉醬,檸檬,醬油
黑糖麥芽糖餅	黑糖,牛奶,麥芽糖,水
希臘田園涼麵	巴西利,綠橄欖,小黃瓜,貝殼麵	迷迭香,橄欖油,糖,薄荷,檸檬,鹽
野菇煎餅	香菇,雞蛋,麵粉,金針	蕃茄醬,鹽
BBQ豬肋排	豬肋排,大蒜
黑胡椒鐵板雞柳	洋蔥,玉米,雞柳,青蔥,辣椒,大蒜	香油,奶油,太白粉,雞粉	黑胡椒,太白粉,鹽
土司蘋果派	鍚蘭肉桂粉,蜂蜜,雞蛋,土司,水,二砂糖,鮮奶,蘋果
柚香茶	柚子醬,香草茶
奶油芝士土司	蛋黃,土司,小蕃茄,糖,奶油,奶油起士
彩蔬鮮菇比薩	厚片披薩皮,起士,青椒,鮑魚菇,洋蔥,紅甜椒
鴛鴦奶茶	果糖,咖啡,水,基底紅茶,冰塊,奶精粉
藍莓奶油鬆糕	糖粉,蛋,低筋麵粉,雞蛋,奶油,泡打粉
超級什錦比薩	厚片披薩皮,青椒,起士,洋蔥,玉米,培根,蘑菇,黑胡椒牛肉,美式臘腸,黑橄欖,火腿
胡麻煎玉帶	鹽,醋,香油,黃色芥末,芝麻,干貝,綠蘆筍,鮮美露
伯爵紅茶生巧克力	鮮奶油,可可粉,麥芽糖,牛奶,牛奶巧克力,巧克力,伯爵茶葉,奶油
蒜味茄醬烤法國麵包	法國麵包,牛蕃茄,香菜	胡椒,蕃茄醬,鹽,糖
蔬菜高湯	高麗菜,月桂葉,洋蔥,紅蘿蔔,香菇,蕃茄,水,西洋芹
紅醬滷牛肉	紅蘿蔔,洋蔥,蕃茄,馬鈴薯,牛腩,西芹	紅醬,水
芒果淋醬	芒果,芒果,玉米粉,細砂糖,水
洋蔥烤蛋	巴西利,雞蛋,洋蔥	鹽
西西里蕃茄海鮮湯	海鮮,洋蔥,西芹,洋芋,蕃茄,水	鹽,蕃茄
檸香煎鮭魚	大蒜,蘆筍,檸檬,鮭魚	米酒,黑胡椒,鹽,奶油
焦糖蘋果法式可麗餅	鮮奶油,糖,牛奶,地瓜,低筋麵粉,蛋,砂糖,蘋果,奶油,泡打粉,鹽,糖
聖誕麵包	麻糬預拌粉,糖粉,葡萄,沙拉油,蜜之果,康途酒,蛋,水,鹽
南瓜雞肉焗飯	起士,南瓜,紅蘿蔔,白飯,雞腿,綠花椰菜	鹽,白醬
蔬菜濃湯底	洋蔥,西芹,大白菜,紅蘿蔔,大蒜,馬鈴薯	雞粉,鹽,胡椒,水
楓糖法式土司	厚片土司,奶油,楓糖
土司臘腸捲	雞蛋,法蘭克福腸,土司
起司毆姆蛋	雞蛋,番茄,洋蔥,青椒,起士	番茄醬,胡椒,鹽,奶油
匈牙利牛肉焗飯	牛肉,洋蔥,起士	鹽,匈牙利紅椒粉
酥皮肉醬飯	蛋黃,豬肉,白飯,酥皮,黑芝麻
咖啡千層派	蛋黃,細砂糖,咖啡酒,牛奶,蛋,香草精,鮮奶油,低筋麵粉,奶油,即融咖啡粉,玉米粉,鮮奶,牛奶,奶油,蛋,鹽,鮮奶
燻雞生菜口袋餅	口袋餅,紅蕃茄,雞肉,蕃茄,小豆苗,苜蓿芽
繽紛起司焗鮮蔬	豬,紅蘿蔔,玉米,青蔥,四季豆,辣椒,大蒜	香油,蕃茄醬,起士,胡椒,鹽
基底紅茶	水,紅茶茶葉
香蔥蕃茄燉雞肉	蕃茄,蒜,洋蔥,雞腿	蕃茄醬,糖,水,蔥
香根孔雀貝	辣椒,孔雀蛤,大蒜,香菜	香油,米酒,辣豆瓣醬,鹽,胡椒
指型小西餅	蛋白,糖粉,細砂糖,低筋麵粉,蛋黃
