紅燒鰻魚飯	辣椒,白米,青蔥,水,辣椒,鰻魚,大蒜	香油,鹽,胡椒,米酒
蔥香蘿蔔泥醬	香菜,蔥,蘿蔔,辣椒,醬油
照燒牛肉丼	芝麻,白飯,牛肉,牛蒡,洋蔥	柴魚,味霖,照燒醬,奶油
美乃滋海老土司	土司,煉乳,蝦子,胡椒,檸檬,鳳梨,奇異果,鹽,美奶滋
味噌汁	水,味噌	米酒,糖
干貝海帶鮮味鍋	貝芽菜,蒟蒻,海帶芽,薑,海鮮蔬菜高湯,干貝	醬油,鹽,雞粉
鍋燒海鮮烏龍麵	蛤蠣,高湯,洋蔥,雞蛋,金針,透抽,魚,蝦子,烏龍麵,蔥	鹽
日式味噌烤牛拉麵	海帶芽,玉米,拉麵,魚,蔥	味霖,鹽,高湯,柴魚醬油	米酒,味噌,味噌,糖
可樂餅	麵包粉,洋蔥,培根,雞蛋,麵粉,馬鈴薯	黑胡椒,奶油,糖,鹽
抹茶拿鐵	果糖,冰塊,綠茶粉,牛奶
卡滋里肌土司卷	芥末,土司,麵包粉,低筋麵粉,芒果,里肌,小蕃茄,蛋液,高麗菜,美奶滋,鹽,胡椒
醬油叉燒拉麵	海帶芽,蛋,拉麵,梅花肉,柴魚素,豆芽,水,薑,筍,蔥	醬油,味醂,蠔油
海苔醬涼麵	海苔,紫萵苣,蕎麥麵,豬肉	鰹魚醬油,水,糖
日式蝦仁炒麵	雞蛋麵,洋蔥,紅椒,黃椒,小白菜,蝦子,鮑魚菇	味霖,醬油,水,米酒
柴魚風味醬汁	醬油,味霖,水,柴魚素
馬鈴薯燉肉	蔥,洋蔥,馬鈴薯,皇帝豆,豬肉	米酒,醬油,鹽,水,味霖
味噌拌炒醬	米酒,韓式辣椒醬,糖,醬油,味噌
柴魚片炒山苦瓜	山苦瓜,大蒜,橄欖油,柴魚	鹽,糖
芝麻炒牛蒡	薑,白芝麻,牛蒡,紅蘿蔔	細砂糖,鹽,烏醋,白醋
北海道紅豆奶茶	果糖,煉乳,基底紅茶,蜜紅豆,冰塊,奶精粉
酥炸牛蒡	牛蒡	細砂糖,白芝麻
櫻花蝦飯糰	青辣椒,海苔,櫻花蝦,胡椒,白飯,鹽,蒜
海苔壽司	壽司飯,紅蘿蔔,海苔,干瓢,小黃瓜,鰻魚,美乃滋,厚蛋燒
魚片野菜昆布鍋	紅蘿蔔,昆布,日本茄,水菜,魚,小黃瓜,蘑菇,香菇	雞粉,鹽
照燒雞腿	照燒醬,米酒,醬油,米霖,雞腿
蔬菜咖哩醬麵	高麗菜,洋蔥,高湯,紅蘿蔔麵,綠花椰菜,花椰菜,蒜	胡椒,砂糖,咖哩,鹽
炒野菜什錦	玉米筍,南瓜,水,洋蔥,青椒	醬油
鮭魚飯糰	洋蔥,黑胡椒,青蔥,海苔,白飯,鮭魚	白醋,糖
豆薯咖哩車輪餅	細砂糖,麵糊,咖哩,洋蔥,咖哩,米酒,香菇,太白粉,水,醬油,胡椒,鹽,豆薯
玉米海苔捲 	奇異果,玉米,海苔,蝦子	美奶滋
